14,0.0025916,{seq: "SMRT-Bell", range: "[6-19]", dir: "t"},{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[6-43]", dir: "f"}
13,0.0024065,{seq: "Payload", range: "[2796-2806]", dir: "t"},{seq: "SMRT-Bell", range: "[3-33]", dir: "f"}
13,0.0024065,{seq: "SMRT-Bell", range: "[1-32]", dir: "f"}
13,0.0024065,{seq: "SMRT-Bell", range: "[1-43]", dir: "t"},{seq: "Payload", range: "[2182-2195]", dir: "f"}
13,0.0024065,{seq: "SMRT-Bell", range: "[27-41]", dir: "f"},{seq: "SMRT-Bell", range: "[1-20]", dir: "f"}
13,0.0024065,{seq: "SMRT-Bell", range: "[3-31]", dir: "f"}
13,0.0024065,{seq: "SMRT-Bell", range: "[8-23]", dir: "t"},{seq: "SMRT-Bell", range: "[8-43]", dir: "f"}
12,0.0022214,{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[11-43]", dir: "f"}
12,0.0022214,{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[13-43]", dir: "f"}
12,0.0022214,{seq: "Payload", range: "[2796-2806]", dir: "t"},{seq: "SMRT-Bell", range: "[3-34]", dir: "f"}
12,0.0022214,{seq: "SMRT-Bell", range: "[1-33]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
12,0.0022214,{seq: "SMRT-Bell", range: "[3-33]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
11,0.0020363,{seq: "SMRT-Bell", range: "[1-33]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
11,0.0020363,{seq: "SMRT-Bell", range: "[23-43]", dir: "f"}
11,0.0020363,{seq: "SMRT-Bell", range: "[3-28]", dir: "f"}
